Time,Drag Force
78853,27.36
78864,2.98
78876,8.94
78887,20.69
78899,38.41
78910,64.54
78922,64.19
78933,4.74
78945,-72.43
78956,-119.61
78968,-83.83
78979,-7.89
78990,38.23
79002,25.08
79014,-47.35
79025,-119.96
79036,-149.07
79048,-92.25
79059,-17.54
79071,23.68
79082,23.5
79094,23.33
79105,4.38
79117,-34.72
79128,-48.23
79140,-0.88
79151,50.51
79163,66.12
79174,49.46
79186,39.46
79197,34.9
79209,28.24
79220,54.54
79232,88.74
79243,116.1
79255,107.33
79266,92.77
79278,75.06
79289,69.27
79301,74.36
79312,98.21
79324,131.53
79336,151.88
79347,151.88
79358,166.43
79370,169.24
79381,163.28
79393,126.45
79404,129.78
79416,179.06
79427,175.55
79439,133.99
79450,98.21
79462,108.38
79473,135.74
79485,150.82
79496,127.15
79508,83.83
79519,66.82
79531,101.02
79542,129.25
79554,118.38
79565,47.7
79577,9.47
79588,28.59
79600,79.97
79611,72.61
79623,26.48
79635,17.89
79646,54.19
79657,79.1
79669,60.33
79680,31.57
79692,30.52
79703,60.68
79715,97.33
79726,119.26
79738,94.88
79749,66.12
79761,41.92
79772,77.87
79784,88.39
79795,115.57
79807,102.77
79818,87.51
79830,83.83
79841,95.41
79853,113.29
79864,119.43
79876,124.52
79887,106.1
79899,90.67
79910,80.85
79922,89.97
79933,98.39
79945,90.85
79956,65.06
79968,65.59
79979,92.25
79991,109.44
80002,91.02
80014,97.16
80025,120.48
80037,135.39
80048,119.08
80060,71.9
80071,58.93
80083,87.51
80094,136.09
80106,160.47
80117,150.82
80129,113.12
80140,87.16
80152,123.64
80163,196.25
80175,204.84
80186,140.13
80198,91.9
80209,111.54
80221,122.41
80232,90.67
80244,89.79
80255,118.03
80267,139.42
80278,174.15
80290,172.92
80301,119.26
80313,61.38
80324,57.7
80336,113.29
80347,164.85
80359,135.22
80370,52.96
80382,8.59
80393,28.06
80405,98.04
80416,136.62
80428,119.78
80439,68.4
80451,17.36
80462,30.16
80474,81.2
80485,88.74
80497,51.56
80508,31.92
80520,56.3
80531,92.25
80543,87.51
80554,39.81
80566,10.35
80577,53.31
80589,116.27
80600,162.4
80612,137.32
80623,84.53
80635,47.7
80646,99.09
80658,152.58
80669,164.15
80681,103.47
80692,65.59
80704,79.97
80715,130.13
80727,164.15
80738,150.47
80750,107.16
80761,94.0
80773,124.87
80784,145.39
80796,134.16
80807,93.13
80819,75.76
80830,74.01
80842,71.03
80853,61.21
80865,46.83
80876,59.28
80888,76.82
80899,64.01
80911,14.21
80922,-13.15
80934,0.7
80945,24.55
80957,33.67
80968,17.71
80980,-37.71
80991,-65.06
81003,-75.06
81014,-65.24
81026,-62.61
81037,-58.75
81049,-27.36
81060,-9.65
81072,-15.26
81083,-46.12
81095,-59.1
81106,-36.13
81118,12.28
81129,39.64
81141,11.22
81152,-34.55
81163,-49.11
81175,-3.68
81186,47.35
81198,71.73
81209,47.7
81221,32.27
81232,25.96
81244,52.26
81255,71.73
81267,57.87
81278,22.97
81290,7.54
81301,14.38
81313,39.28
81324,50.33
81336,32.62
81347,4.03
81359,-5.96
81370,-21.22
81382,-41.21
81393,-55.24
81405,-49.28
81416,-15.78
81428,31.04
81439,36.48
81451,-35.6
81462,-127.15
81474,-193.62
81485,-126.8
81497,-21.92
81508,19.47
81520,-86.46
81531,-235.36
81543,-290.6
81554,-203.09
81566,-50.68
81577,59.1
81589,84.88
81600,31.22
81612,-84.53
81623,-159.77
81635,-146.79
81646,-52.61
81658,39.46
81669,110.66
81681,135.04
81692,19.12
81704,-66.82
81715,-38.41
81727,93.3
81738,141.53
81750,142.06
81761,83.3
81773,27.01
81784,2.98
81796,8.24
81807,34.2
81819,81.73
81830,108.56
81842,79.1
81853,14.21
81865,-9.29
81876,30.52
81888,112.77
81899,169.94
81911,134.51
81922,45.95
81934,-3.51
81946,20.34
81957,59.8
81968,85.76
81980,86.99
81991,53.49
82003,-2.81
82014,-36.83
82026,-33.5
82037,-22.8
82049,-6.49
82060,34.9
82072,56.12
82083,9.29
82095,-62.08
82106,-111.36
82118,-69.45
82129,1.93
82141,45.07
82152,30.16
82164,-17.36
82175,-51.03
82187,-64.54
82198,-39.46
82210,7.37
82221,12.28
82233,-20.34
82244,-41.74
82256,-47.18
82267,-65.06
82279,-80.32
82290,-72.78
82302,-50.33
82313,-34.02
82325,-66.99
82336,-110.84
82348,-137.5
82359,-110.84
82371,-71.38
82382,-72.08
82394,-97.33
82405,-131.01
82417,-162.4
82428,-140.48
82440,-115.92
82451,-91.9
82463,-102.95
82474,-121.71
82486,-136.62
82497,-141.88
82509,-128.38
82520,-113.47
82532,-99.26
82543,-105.58
82555,-123.29
82566,-128.73
82578,-120.48
82589,-106.45
82601,-97.33
82612,-87.86
82624,-92.07
82635,-104.0
82647,-101.19
82658,-91.37
82670,-86.29
82681,-97.51
82693,-83.65
82704,-78.39
82716,-96.81
82727,-120.31
82739,-129.25
82750,-102.24
82762,-97.51
82773,-103.12
82785,-98.91
82796,-90.14
82808,-96.81
82819,-113.12
82831,-112.24
82842,-107.68
82854,-96.98
82865,-97.33
82877,-91.72
82888,-80.15
82900,-85.58
82911,-79.62
82923,-66.12
82934,-68.05
82946,-95.76
82957,-112.94
82969,-74.71
82980,-36.65
82992,-49.81
83003,-110.49
83015,-139.07
83026,-145.91
83038,-124.52
83049,-72.61
83061,-41.04
83072,-50.33
83084,-98.74
83095,-138.9
83107,-135.39
83118,-106.28
83130,-82.6
83141,-81.9
83153,-73.66
83164,-59.1
83176,-66.64
83187,-99.44
83199,-117.33
83210,-96.63
83222,-50.86
83233,27.88
83245,36.83
83256,-23.33
83268,-91.02
83279,-106.98
83291,-51.21
83302,15.78
83314,34.9
83325,-19.82
83337,-61.91
83348,-44.9
83360,-5.44
83371,11.22
83383,8.94
83394,-3.68
83406,1.93
83417,19.12
83429,18.24
83440,-18.06
83452,-21.05
83463,6.31
83475,31.04
83486,61.03
83498,46.83
83509,13.33
83521,-10.52
83532,21.4
83544,34.9
83555,41.74
83567,42.27
83578,33.67
83590,19.29
83601,9.12
83613,5.44
83624,15.61
83636,31.92
83647,54.54
83659,31.39
83670,6.84
83682,2.81
83693,19.47
83705,44.72
83716,52.44
83728,44.37
83739,44.72
83751,81.9
83762,84.18
83774,62.78
83785,42.27
83797,38.93
83808,61.56
83820,110.31
83831,125.22
83843,94.35
83854,62.08
83866,78.39
83877,122.94
83890,140.65
83900,103.65
83912,61.56
83923,81.37
83935,121.54
83946,134.34
83958,90.85
83969,65.42
83981,86.46
83992,127.32
84004,136.79
84015,118.91
84027,76.99
84038,43.84
84050,43.32
84061,60.68
84073,54.02
84084,28.59
84096,25.25
84107,35.43
84119,33.5
84130,10.0
84142,-19.12
84153,-35.78
84165,-24.2
84176,2.63
84188,-7.19
84199,-34.37
84211,-57.0
84222,-52.44
84234,-28.94
84245,1.58
84257,-25.43
84268,-64.01
84280,-60.15
84291,-20.87
84303,12.28
84314,-22.1
84326,-45.07
84337,-63.49
84349,-45.95
84360,10.7
84372,49.98
84383,11.75
